Date created,Year,Geography,Median Household Income,Margin of Error
03/13/2026,2024,Maryland,"$   102,835","$   1,347"
03/13/2026,2024,Allegany,"$   63,215","$   3,784"
03/13/2026,2024,Anne Arundel,"$   127,042","$   3,768"
03/13/2026,2024,Baltimore,"$   87,865","$   3,822"
03/13/2026,2024,Calvert,"$   121,798","$   6,611"
03/13/2026,2024,Caroline,"$   72,564","$   6,841"
03/13/2026,2024,Carroll,"$   114,927","$   7,666"
03/13/2026,2024,Cecil,"$   89,501","$   5,967"
03/13/2026,2024,Charles,"$   125,985","$   4,571"
03/13/2026,2024,Dorchester,"$   65,476","$   6,747"
03/13/2026,2024,Frederick,"$   121,380","$   5,068"
03/13/2026,2024,Garrett,"$   67,553","$   3,935"
03/13/2026,2024,Harford,"$   110,665","$   3,332"
03/13/2026,2024,Howard,"$   149,980","$   5,743"
03/13/2026,2024,Kent,"$   75,873","$   8,483"
03/13/2026,2024,Montgomery,"$   138,870","$   4,141"
03/13/2026,2024,Prince George's,"$   97,634","$   3,755"
03/13/2026,2024,Queen Anne's,"$   112,621","$   10,914"
03/13/2026,2024,St. Mary's,"$   116,969","$   8,400"
03/13/2026,2024,Somerset,"$   53,022","$   6,064"
03/13/2026,2024,Talbot,"$   87,121","$   7,774"
03/13/2026,2024,Washington,"$   77,632","$   4,564"
03/13/2026,2024,Wicomico,"$   67,786","$   6,591"
03/13/2026,2024,Worcester,"$   81,711","$   4,650"
03/13/2026,2024,Baltimore city,"$   63,451","$   2,805"
03/13/2026,2023,Maryland,"$   98,568","$   1,246"
03/13/2026,2023,Allegany,"$   54,759","$   4,927"
03/13/2026,2023,Anne Arundel,"$   116,956","$   3,779"
03/13/2026,2023,Baltimore,"$   86,807","$   2,814"
03/13/2026,2023,Calvert,"$   124,486","$   6,953"
03/13/2026,2023,Caroline,"$   63,491","$   6,911"
03/13/2026,2023,Carroll,"$   113,885","$   5,450"
03/13/2026,2023,Cecil,"$   87,592","$   7,805"
03/13/2026,2023,Charles,"$   105,141","$   6,426"
03/13/2026,2023,Dorchester,"$   63,087","$   6,070"
03/13/2026,2023,Frederick,"$   114,089","$   4,263"
03/13/2026,2023,Garrett,"$   65,991","$   4,766"
03/13/2026,2023,Harford,"$   104,553","$   4,166"
03/13/2026,2023,Howard,"$   140,113","$   5,978"
03/13/2026,2023,Kent,"$   69,781","$   6,513"
03/13/2026,2023,Montgomery,"$   125,076","$   2,346"
03/13/2026,2023,Prince George's,"$   97,171","$   2,637"
03/13/2026,2023,Queen Anne's,"$   112,527","$   8,725"
03/13/2026,2023,St. Mary's,"$   102,345","$   3,914"
03/13/2026,2023,Somerset,"$   51,841","$   6,181"
03/13/2026,2023,Talbot,"$   80,371","$   8,725"
03/13/2026,2023,Washington,"$   71,685","$   5,165"
03/13/2026,2023,Wicomico,"$   70,975","$   4,440"
03/13/2026,2023,Worcester,"$   75,459","$   5,309"
03/13/2026,2023,Baltimore city,"$   58,616","$   3,000"
03/13/2026,2022,Maryland,"$   94,957","$   1,051"
03/13/2026,2022,Allegany,"$   50,582","$   5,148"
03/13/2026,2022,Anne Arundel,"$   112,525","$   3,736"
03/13/2026,2022,Baltimore,"$   86,198","$   2,824"
03/13/2026,2022,Calvert,"$   118,110","$   9,322"
03/13/2026,2022,Caroline,"$   65,981","$   6,742"
03/13/2026,2022,Carroll,"$   105,096","$   5,832"
03/13/2026,2022,Cecil,"$   84,513","$   6,550"
03/13/2026,2022,Charles,"$   112,932","$   6,163"
03/13/2026,2022,Dorchester,"$   54,206","$   4,914"
03/13/2026,2022,Frederick,"$   116,796","$   6,181"
03/13/2026,2022,Garrett,"$   59,080","$   5,632"
03/13/2026,2022,Harford,"$   100,334","$   6,083"
03/13/2026,2022,Howard,"$   133,068","$   5,990"
03/13/2026,2022,Kent,"$   69,695","$   8,260"
03/13/2026,2022,Montgomery,"$   118,020","$   3,351"
03/13/2026,2022,Prince George's,"$   93,833","$   2,285"
03/13/2026,2022,Queen Anne's,"$   109,436","$   8,197"
03/13/2026,2022,St. Mary's,"$   112,154","$   4,417"
03/13/2026,2022,Somerset,"$   53,590","$   4,989"
03/13/2026,2022,Talbot,"$   76,583","$   7,708"
03/13/2026,2022,Washington,"$   69,271","$   3,714"
03/13/2026,2022,Wicomico,"$   68,851","$   4,441"
03/13/2026,2022,Worcester,"$   75,969","$   7,115"
03/13/2026,2022,Baltimore city,"$   54,735","$   2,535"
03/13/2026,2021,Maryland,"$   90,129","$   1,042"
03/13/2026,2021,Allegany,"$   49,236","$   3,508"
03/13/2026,2021,Anne Arundel,"$   107,281","$   3,060"
03/13/2026,2021,Baltimore,"$   80,159","$   2,930"
03/13/2026,2021,Calvert,"$   117,459","$   8,674"
03/13/2026,2021,Caroline,"$   61,945","$   6,019"
03/13/2026,2021,Carroll,"$   102,006","$   5,659"
03/13/2026,2021,Cecil,"$   76,727","$   6,388"
03/13/2026,2021,Charles,"$   103,918","$   6,011"
03/13/2026,2021,Dorchester,"$   54,731","$   4,764"
03/13/2026,2021,Frederick,"$   104,253","$   5,113"
03/13/2026,2021,Garrett,"$   55,107","$   4,470"
03/13/2026,2021,Harford,"$   95,951","$   4,281"
03/13/2026,2021,Howard,"$   131,412","$   6,158"
03/13/2026,2021,Kent,"$   66,183","$   8,033"
03/13/2026,2021,Montgomery,"$   112,352","$   3,426"
03/13/2026,2021,Prince George's,"$   89,689","$   1,956"
03/13/2026,2021,Queen Anne's,"$   94,583","$   6,894"
03/13/2026,2021,St. Mary's,"$   106,539","$   4,742"
03/13/2026,2021,Somerset,"$   47,131","$   4,690"
03/13/2026,2021,Talbot,"$   78,931","$   6,746"
03/13/2026,2021,Washington,"$   65,433","$   4,189"
03/13/2026,2021,Wicomico,"$   61,848","$   4,248"
03/13/2026,2021,Worcester,"$   70,952","$   4,569"
03/13/2026,2021,Baltimore city,"$   54,068","$   1,913"
03/13/2026,2020,Maryland,"$   88,589","$   1,147"
03/13/2026,2020,Allegany,"$   53,023","$   2,532"
03/13/2026,2020,Anne Arundel,"$   105,979","$   3,409"
03/13/2026,2020,Baltimore,"$   79,974","$   2,945"
03/13/2026,2020,Calvert,"$   111,665","$   8,753"
03/13/2026,2020,Caroline,"$   60,617","$   7,399"
03/13/2026,2020,Carroll,"$   104,817","$   5,454"
03/13/2026,2020,Cecil,"$   84,248","$   6,862"
03/13/2026,2020,Charles,"$   102,681","$   4,855"
03/13/2026,2020,Dorchester,"$   54,846","$   6,146"
03/13/2026,2020,Frederick,"$   99,254","$   4,960"
03/13/2026,2020,Garrett,"$   56,929","$   6,678"
03/13/2026,2020,Harford,"$   102,537","$   5,104"
03/13/2026,2020,Howard,"$   124,042","$   6,691"
03/13/2026,2020,Kent,"$   64,437","$   9,572"
03/13/2026,2020,Montgomery,"$   115,394","$   2,814"
03/13/2026,2020,Prince George's,"$   85,246","$   2,391"
03/13/2026,2020,Queen Anne's,"$   93,427","$   10,940"
03/13/2026,2020,St. Mary's,"$   105,197","$   8,588"
03/13/2026,2020,Somerset,"$   51,787","$   5,355"
03/13/2026,2020,Talbot,"$   69,311","$   8,222"
03/13/2026,2020,Washington,"$   63,237","$   4,916"
03/13/2026,2020,Wicomico,"$   59,387","$   5,159"
03/13/2026,2020,Worcester,"$   62,481","$   5,660"
03/13/2026,2020,Baltimore city,"$   51,485","$   3,237"
03/13/2026,2019,Maryland,"$   86,644",$   910
03/13/2026,2019,Allegany,"$   48,170","$   3,994"
03/13/2026,2019,Anne Arundel,"$   100,916","$   1,997"
03/13/2026,2019,Baltimore,"$   76,972","$   2,850"
03/13/2026,2019,Calvert,"$   111,056","$   5,224"
03/13/2026,2019,Caroline,"$   60,143","$   5,864"
03/13/2026,2019,Carroll,"$   101,810","$   4,558"
03/13/2026,2019,Cecil,"$   75,307","$   5,033"
03/13/2026,2019,Charles,"$   102,510","$   4,153"
03/13/2026,2019,Dorchester,"$   48,709","$   4,565"
03/13/2026,2019,Frederick,"$   102,951","$   3,029"
03/13/2026,2019,Garrett,"$   59,253","$   3,790"
03/13/2026,2019,Harford,"$   91,492","$   4,840"
03/13/2026,2019,Howard,"$   121,329","$   4,553"
03/13/2026,2019,Kent,"$   65,615","$   6,855"
03/13/2026,2019,Montgomery,"$   110,012","$   2,763"
03/13/2026,2019,Prince George's,"$   85,357","$   2,370"
03/13/2026,2019,Queen Anne's,"$   101,350","$   6,021"
03/13/2026,2019,St. Mary's,"$   89,123","$   7,881"
03/13/2026,2019,Somerset,"$   38,731","$   3,574"
03/13/2026,2019,Talbot,"$   75,714","$   4,769"
03/13/2026,2019,Washington,"$   59,785","$   3,733"
03/13/2026,2019,Wicomico,"$   54,351","$   4,344"
03/13/2026,2019,Worcester,"$   65,821","$   3,788"
03/13/2026,2019,Baltimore city,"$   49,780","$   1,866"
03/13/2026,2018,Maryland,"$   83,076",$   973
03/13/2026,2018,Allegany,"$   43,535","$   3,514"
03/13/2026,2018,Anne Arundel,"$   97,051","$   3,136"
03/13/2026,2018,Baltimore,"$   75,836","$   1,993"
03/13/2026,2018,Calvert,"$   106,270","$   5,011"
03/13/2026,2018,Caroline,"$   56,627","$   5,310"
03/13/2026,2018,Carroll,"$   95,956","$   5,012"
03/13/2026,2018,Cecil,"$   72,739","$   4,566"
