"Total Residential Sales In And Out Of Priority Funding Areas For Maryland's Jurisdictions, 2017-2024",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Total Sales,,,,,,,,INPFA,,,,,,,,OUTPFA,,,,,,,
,2017,2018,2019,2020,2021,2022,2023,2024,2017,2018,2019,2020,2021,2022,2023,2024,2017,2018,2019,2020,2021,2022,2023,2024
,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total ,Total 
Jurisdictions,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales,Sales
MARYLAND,"77,413","76,193","82,073","82,220","111,705","92,581","64,339","65,531","65,719","64,976","69,359","67,420","94,778","80,245","54,868","55,575","11,694","11,217","12,714","14,800","16,927"," 12,336 "," 9,471 "," 9,956 "
,,,,,,,,,,,,,,,,,,,,,,,,
BALTIMORE REGION,"36,106","35,882","38,210","35,426","51,212","43,911","30,061","30,406","31,499","31,551","33,401","30,391","45,263","39,389","26,723","27,002","4,607","4,331","4,809","5,035","5,949"," 4,522 "," 3,338 "," 3,404 "
Anne Arundel County,"9,373","9,229","10,215","9,973","12,588","10,433","6,901","7,000","7,897","7,794","8,450","8,212","10,486","8,953","5,896","5,957","1,476","1,435","1,765","1,761","2,102"," 1,480 "," 1,005 "," 1,043 "
Baltimore County,"10,047","9,830","10,316","9,347","13,931","12,380","8,288","9,089","9,035","8,944","9,420","8,438","12,773","11,388","7,507","8,289","1,012",886,896,909,"1,158", 992 , 781 , 800 
Carroll County,"2,301","2,273","2,263","2,578","3,026","2,599","1,680","1,595","1,402","1,404","1,390","1,607","1,973","1,747","1,041",991,899,869,873,971,"1,053", 852 , 639 , 604 
Harford County,"3,627","3,884","4,033","4,407","5,242","4,002","2,753","2,790","2,980","3,294","3,432","3,657","4,446","3,366","2,274","2,302",647,590,601,750,796, 636 , 479 , 488 
Howard County,"4,546","4,310","4,555","4,336","5,928","4,651","3,169","3,412","3,973","3,759","3,881","3,692","5,088","4,089","2,735","2,943",573,551,674,644,840, 562 , 434 , 469 
Baltimore City,"6,212","6,356","6,828","4,785","10,497","9,846","7,270","6,520","6,212","6,356","6,828","4,785","10,497","9,846","7,270","6,520",---,---,---,---,---, --- , -   , --- 
,,,,,,,,,,,,,,,,,,,,,,,,
WASHINGTON SUBURBAN REGION,"26,428","25,631","27,618","27,823","37,420","29,710","20,406","20,802","23,844","23,194","24,517","24,529","33,833","27,086","18,553","18,800","2,584","2,437","3,101","3,294","3,587"," 2,624 "," 1,853 "," 2,002 "
Frederick County,"3,873","4,583","5,170","5,703","7,124","5,476","3,914","3,276","3,173","3,800","4,219","4,658","5,987","4,632","3,313","2,705",700,783,951,"1,045","1,137", 844 , 601 , 571 
Montgomery County,"12,916","12,282","12,609","12,543","17,777","13,534","9,249","10,460","12,055","11,401","11,662","11,534","16,419","12,625","8,644","9,650",861,881,947,"1,009","1,358", 909 , 605 , 810 
Prince George's County,"9,639","8,766","9,839","9,577","12,519","10,700","7,243","7,066","8,616","7,993","8,636","8,337","11,427","9,829","6,596","6,445","1,023",773,"1,203","1,240","1,092", 871 , 647 , 621 
,,,,,,,,,,,,,,,,,,,,,,,,
SOUTHERN MARYLAND REGION,"5,405","5,196","5,981","6,559","8,374","6,753","4,279","4,114","3,277","3,109","3,694","3,884","5,133","4,341","2,591","2,457","2,128","2,087","2,287","2,675","3,241"," 2,412 "," 1,688 "," 1,657 "
Calvert County,"1,393","1,396","1,486","1,681","2,170","1,576","1,025","1,081",661,683,719,861,"1,149",851,541,566,732,713,767,820,"1,021", 725 , 484 , 515 
Charles County,"2,624","2,383","2,839","2,979","3,906","3,434","2,036","1,793","1,844","1,593","1,996","2,000","2,663","2,406","1,367","1,197",780,790,843,979,"1,243"," 1,028 ", 669 , 596 
